Horse,Jockey,Trainer,Odds,SpeedAvg,SpeedComposite,WorkoutTimeSec,WorkoutScore,ImpliedWinProb,PostPosition,PostWinRate,PostITMRate,PostWinScore,PostITMScore,LastFinish1,LastRace1,ClassLastRace1,SpeedFig1,Finish2,Race2,ClassRace2,SpeedFig2,Finish3,Race3,ClassRace3,SpeedFig3,RunStyle,Starts,Firsts,Seconds,Thirds,Earnings,WinPct,ITMPct,HasRunChurchill,HasRun10f+,LastRaceDate,LatestWorkoutDate,DaysSinceLastRace,LayoffScore,RunStyleScore,Grade1_ALW,Grade2_ALW,Grade3_ALW
Citizen Bull,"Garcia, Martin","Baffert, Bob",-0.5087028049177145,0.805823569374024,0.5714285714285712,0.08643609743005204,0.2739726027397262,0.0588235294117647,1,0.084,0.189,0.8,0.5391304347826088,4,Santa Anita Derby (Gr. 1),G1,94.0,1,Robert B. Lewis Stakes (Gr. 3),G3,107.0,1,"FanDuel Breeders' Cup Juvenile Presented by Thoroughbred Aftercare Alliance 
(Gr. 1)",G1,106.0,E,6,4,0,1,2.038686081503587,0.6666666667,0.8333333333,0,0,2025-04-05,2025-04-28,-0.5069933466241214,0.6571428571,3,True,True,True
Neoequos,"Prat, Flavien","Joseph; Jr, Saffie A",2.248138202378287,-0.6839656665074406,0.2321428571428568,-1.9770902103156673,0.9568493150684932,0.0175438596491228,2,0.074,0.274,0.7047619047619047,0.9086956521739132,3,Curlin Florida Derby presented by Hill 'n' Dale Farms at Xalapa (Gr. 1),G1,90.0,3,Coolmore Fountain of Youth Stakes (Gr. 2),G2,94.0,1,Allowance,ALW,81.0,E,7,2,2,2,-0.8531190482183004,0.2857142857,0.8571428571,0,0,2025-03-29,2025-04-24,-0.06945114337316712,0.7428571429,3,True,True,True
Final Gambit,"Machado, Luan","Cox, Brad H",-0.4397817797353144,-0.21350590780803072,0.3392857142857144,0.6245673311450846,0.0958904109589044,0.0555555555555555,3,0.063,0.232,0.6,0.7260869565217393,1,Jeff Ruby Steaks (Gr. 3),G3,96.0,1,Maiden Special Weight,ALW,84.0,2,Maiden Special Weight,ALW,95.0,S,4,2,1,1,-0.28074381831380585,0.5,1.0,1,0,2025-03-22,2025-04-26,1.243175466379696,1.0,0,True,True,True
Rodriguez,"Smith, Mike E","Baffert, Bob",-1.0600710063769148,1.5899231672063738,0.7499999999999991,0.417593779716226,0.1643835616438358,0.1111111111111111,4,0.053,0.158,0.5047619047619047,0.4043478260869566,1,Wood Memorial S. Presented by Resorts World Casino (Gr. 2),G2,111.0,3,DK Horse San Felipe Stakes (Gr. 2),G2,92.0,2,Robert B. Lewis Stakes (Gr. 3),G3,101.0,E,5,2,2,1,-0.2753563525736196,0.4,1.0,0,0,2025-04-05,2025-04-27,-0.6528407477077729,0.6285714286,3,True,True,True
American Promise,"Juarez, Nik","Lukas, D W",-0.7843869056473146,0.727413609590789,0.5535714285714288,0.2934096488589106,0.2054794520547945,0.0769230769230769,5,0.105,0.232,1.0,0.7260869565217393,1,Virginia Derby (Black Type),ALW,101.0,5,Fasig-Tipton Risen Star Stakes (Gr. 2),G2,86.0,7,Southwest Stakes (Gr. 3),G3,91.0,E,9,2,1,1,-0.46962921479932573,0.2222222222,0.4444444444,1,0,2025-03-15,2025-04-26,2.264107273965256,0.8,3,True,True,True
Admire Daytona,"Lemaire, Christophe","Kato, Yukihiro",1.1454017994598864,-0.1279677698626766,0.3587662337662341,-0.9898263700000115,0.6301369863013697,0.024390243902439,6,0.021,0.137,0.2,0.3130434782608696,1,UAE Derby Sponsored By Jumeirah (Gr. 2),G2,108.0227272727273,4,Hyacinth Stakes,ALW,108.0227272727273,1,Maiden,ALW,108.0227272727273,Unknown,6,2,2,0,0.09672282342155482,0.3333333333,0.6666666667,0,0,2025-04-05,2025-04-29,-0.36114594554047,0.6857142857,-1,True,True,True
Luxor Cafe,"Moreira, Joao","Hori, Noriyuki",-0.7154658804649145,-0.1279677698626766,0.3587662337662341,0.9143303031454862,4.440892098500626e-16,0.0714285714285714,7,0.085,0.213,0.8095238095238095,0.6434782608695653,1,Fukuryu Stakes,ALW,108.0227272727273,1,Hyacinth Stakes,ALW,108.0227272727273,1,Kurochiku Sho,ALW,108.0227272727273,Unknown,6,4,1,0,-0.6337138203624151,0.6666666667,0.8333333333,0,0,2025-03-29,2025-04-29,0.6597858620450902,0.8857142857,-1,True,True,True
Journalism,"Rispoli, Umberto","Mccarthy, Michael W",-1.404676132288915,2.6876626041716634,0.9999999999999992,0.7073567517166277,0.0684931506849317,0.25,8,0.096,0.202,0.9142857142857144,0.5956521739130436,1,Santa Anita Derby (Gr. 1),G1,108.0,1,DK Horse San Felipe Stakes (Gr. 2),G2,110.0,1,Los Alamitos Futurity (Gr. 2),G2,106.0,E/P,5,4,0,1,0.014036069046378432,0.8,1.0,0,0,2025-04-05,2025-04-27,-0.6528407477077729,0.6285714286,2,True,True,True
Burnham Square,"Hernandez Jr, Brian J","Wilkes, Ian R",-0.3708607545529144,-0.13509594802479574,0.3571428571428568,0.2934096488589106,0.2054794520547945,0.0526315789473684,9,0.044,0.198,0.419047619047619,0.5782608695652175,1,Toyota Blue Grass Stakes (Gr. 1),G1,104.0,4,Coolmore Fountain of Youth Stakes (Gr. 2),G2,93.0,1,Holy Bull Stakes (Gr. 3),G3,91.0,P,6,3,1,1,0.858865987003622,0.5,0.8333333333,1,0,2025-04-08,2025-04-26,-1.2362303520423787,0.5142857143,1,True,True,True
Grande,"Velazquez, John R","Pletcher, Todd A",-0.4397817797353144,0.2569538508913791,0.4464285714285712,0.6245673311450846,0.0958904109589044,0.0555555555555555,10,0.102,0.295,0.9714285714285712,1.0,2,Wood Memorial S. Presented by Resorts World Casino (Gr. 2),G2,106.0,1,Allowance Optional Claiming,ALW,89.0,1,Maiden Special Weight,ALW,88.0,E,3,2,1,0,-1.0098067954513885,0.6666666667,1.0,0,0,2025-04-05,2025-04-25,-0.9445355498750758,0.5714285714,3,True,True,True
Flying Mohawk,"Ramos, Joseph D","Beckman, D Whitworth",0.6629546231830862,-1.5464752241230253,0.0357142857142855,0.417593779716226,0.1643835616438358,0.0294117647058823,11,0.024,0.143,0.2285714285714286,0.3391304347826087,2,Allowance Optional Claiming,ALW,91.0,1,Allowance Optional Claiming,ALW,97.0,1,Maiden Special Weight,ALW,93.0,P,6,2,2,0,-0.8412770943701354,0.3333333333,0.6666666667,1,0,2025-03-22,2025-04-25,1.0973280652960444,0.9714285714,1,True,True,True
East Avenue,"Franco, Manuel","Walsh, Brendan P",0.5940335980006861,-0.2919158675912657,0.3214285714285712,0.2934096488589106,0.2054794520547945,0.0303030303030303,12,0.038,0.125,0.3619047619047619,0.2608695652173914,2,Toyota Blue Grass Stakes (Gr. 1),G1,104.0,10,Fasig-Tipton Risen Star Stakes (Gr. 2),G2,71.0,9,FanDuel Breeders' Cup Juvenile Presented by Thoroughbred Aftercare Alliance (Gr. 1),G1,85.0,E,5,2,1,0,0.052715629878858354,0.4,0.6,0,0,2025-04-08,2025-04-27,-1.0903829509587273,0.5428571429,3,True,True,True
Publisher,"Ortiz Jr, Irad","Asmussen, Steven M",0.38727052245348603,-0.5271457469409706,0.2678571428571432,-1.859115286001218,0.9178082191780824,0.0333333333333333,13,0.064,0.206,0.6095238095238096,0.6130434782608696,2,Arkansas Derby (Gr. 1),G1,100.0,4,Rebel Stakes (Gr. 2),G2,98.0,4,Southwest Stakes (Gr. 3),G3,89.0,P,7,0,2,3,-0.5621659817332599,0.0,0.7142857143,1,0,2025-03-29,2025-04-27,0.36809105987778723,0.8285714286,1,True,True,True
Tiztastic,"Rosario, Joel","Asmussen, Steven M",-0.30193972937051433,-0.05668598824156078,0.375,-1.6107470242865871,0.8356164383561642,0.05,14,0.029,0.195,0.2761904761904762,0.565217391304348,1,Twinspires.com Louisiana Derby (Gr. 2),G2,99.0,5,Rebel Stakes (Gr. 2),G2,94.0,3,Southwest Stakes (Gr. 3),G3,97.0,S,8,3,1,2,2.284998721545419,0.375,0.75,1,0,2025-03-22,2025-04-27,1.3890228674633474,0.9714285714,0,True,True,True
Render Judgment,"Leparoux, Julien R","Mcpeek, Kenneth G",-0.7843869056473146,-1.6248851839062604,0.0178571428571432,0.3348043591446829,0.1917808219178085,0.0769230769230769,15,0.095,0.143,0.9047619047619048,0.3391304347826087,5,Toyota Blue Grass Stakes (Gr. 1),G1,98.0,2,Virginia Derby (Black Type),ALW,90.0,8,Fasig-Tipton Risen Star Stakes (Gr. 2),G2,77.0,P,7,1,2,1,-0.953783135056449,0.1428571429,0.5714285714,1,0,2025-04-08,2025-04-26,-1.2362303520423787,0.5142857143,1,True,True,True
Coal Battle,"Vargas, Juan P","Briley, Lonnie",0.38727052245348603,-0.9191955458571456,0.1785714285714288,-2.107483547715849,1.0,0.0333333333333333,16,0.077,0.192,0.7333333333333333,0.5521739130434784,3,Arkansas Derby (Gr. 1),G1,93.0,1,Rebel Stakes (Gr. 2),G2,104.0,1,Smarty Jones Stakes (Listed),ALW,82.0,E/P,8,5,0,1,1.3851972073035357,0.625,0.75,0,0,2025-03-29,2025-04-28,0.5139384609614387,0.8571428571,2,True,True,True
Sandman,"Ortiz, Jose L","Casse, Mark E",-1.335755107106515,0.570593690024319,0.5178571428571432,0.9143303031454862,4.440892098500626e-16,0.2,17,0.0,0.067,0.0,0.008695652173913,1,Arkansas Derby (Gr. 1),G1,104.0,3,Rebel Stakes (Gr. 2),G2,101.0,2,Southwest Stakes (Gr. 3),G3,100.0,S,8,3,1,2,1.549039987703831,0.375,0.75,1,0,2025-03-29,2025-04-23,-0.21529854445681856,0.7142857143,0,True,True,True
Sovereignty,"Alvarado, Junior","Mott, William I",-0.9911499811945147,-0.6055557067242057,0.25,0.7901461722881707,0.041095890410959,0.1,18,0.054,0.162,0.5142857142857142,0.4217391304347827,2,Curlin Florida Derby presented by Hill 'n' Dale Farms at Xalapa (Gr. 1),G1,94.0,1,Coolmore Fountain of Youth Stakes (Gr. 2),G2,98.0,1,Street Sense Stakes (Gr. 3),G3,99.0,S,5,2,2,0,-0.15070420680346194,0.4,0.8,1,0,2025-03-29,2025-04-27,0.36809105987778723,0.8285714286,0,True,True,True
Chunk of Gold,"Loveberry, Jareth","West, Ethan W",0.7318756483654862,-0.6839656665074406,0.2321428571428568,0.2520149385731398,0.2191780821917804,0.0285714285714285,19,0.032,0.065,0.3047619047619048,0.0,2,Twinspires.com Louisiana Derby (Gr. 2),G2,96.0,2,Fasig-Tipton Risen Star Stakes (Gr. 2),G2,91.0,2,Leonatus Stakes (Black Type),ALW,88.0,S,4,1,3,0,-0.7091009450812911,0.25,1.0,0,0,2025-03-22,2025-04-25,1.0973280652960444,0.9714285714,0,True,True,True
Owen Almighty,"Castellano, Javier","Lynch, Brian A",1.2832438498246865,-0.44873578715773565,0.2857142857142856,0.7487514620024,0.0547945205479449,0.0232558139534883,20,0.105,0.158,1.0,0.4043478260869566,6,Toyota Blue Grass Stakes (Gr. 1),G1,98.0,1,Lambholm South Tampa Bay Derby (Gr. 3),G3,98.0,2,Sam F. Davis Stakes (Listed),ALW,96.0,E,7,3,2,0,-0.3323597788343127,0.4285714286,0.7142857143,1,0,2025-04-08,2025-04-24,-1.5279251542096817,0.4571428571,3,True,True,True
Baeza,"Prat, Flavien","Shirreffs, John A",1.6967700009190867,1.3546932878566689,0.6964285714285721,0.8315408825739431,0.0273972602739722,0.0204081632653061,21,0.0635,0.1905,0.6047619047619047,0.5456521739130435,2,Santa Anita Derby (Gr. 1),G1,107.0,1,Maiden Special Weight,ALW,104.0,2,Maiden Special Weight,ALW,94.0,E/P,4,1,2,0,-1.20850231580902,0.25,0.75,0,0,2025-04-05,2025-04-28,-0.5069933466241214,0.6571428571,2,True,True,True
